methane,lpg,co,air_quality,flame_val,dht22_temp,humidity,status
275,358,169,309,3951,31,62,0
344,296,138,458,3950,26,61,0
262,384,187,443,3979,26,74,0
311,259,182,175,3911,21,70,0
354,310,150,268,4020,30,55,0
396,184,142,483,4022,28,75,0
318,306,158,533,3971,28,67,0
321,298,145,230,3987,28,54,0
279,338,156,447,3949,33,59,0
251,377,174,499,4017,27,73,0
260,296,139,406,4011,28,45,0
520,556,1581,3500,177,50,39,1
327,251,117,339,3944,24,48,0
3681,4095,2550,832,4053,25,58,2
346,248,153,451,4025,24,49,0
315,375,185,308,3984,25,56,0
238,287,165,348,3967,26,54,0
522,510,1546,4034,287,79,24,1
3360,4095,2834,1006,3981,30,51,2
416,373,137,439,3981,26,60,0
3457,2716,1548,799,4095,23,77,2
383,249,142,291,4021,24,60,0
242,274,153,422,4064,28,61,0
302,223,94,391,3910,22,47,0
345,357,142,263,3953,24,48,0
371,368,130,396,3999,26,66,0
393,290,152,329,3964,27,51,0
334,331,139,372,4045,31,59,0
286,392,162,304,3940,29,63,0
347,367,120,295,3998,30,67,0
209,239,169,272,3989,27,59,0
168,189,205,266,4018,23,61,0
303,366,157,415,3972,34,45,0
345,263,158,445,4057,30,58,0
258,257,153,388,4013,32,43,0
318,253,141,452,4055,23,77,0
289,306,166,479,3930,26,47,0
390,358,123,294,3942,27,59,0
3240,2945,3138,878,3992,29,47,2
259,303,165,384,4006,31,59,0
633,350,1914,2048,347,48,32,1
246,321,157,316,4050,26,69,0
300,344,104,280,3989,29,58,0
277,275,156,295,3947,27,62,0
178,260,160,432,4008,29,67,0
216,356,114,397,4043,27,61,0
393,245,125,567,3947,28,67,0
381,358,165,308,3891,28,72,0
185,334,145,334,3875,31,75,0
284,263,125,338,3987,26,55,0
3000,2892,2653,858,4010,29,60,2
270,329,173,394,4017,26,67,0
262,355,112,414,3964,27,57,0
216,283,233,519,3886,29,54,0
288,250,201,386,4003,25,52,0
375,227,159,525,4053,22,61,0
190,311,149,495,3953,29,73,0
363,365,135,449,3951,26,56,0
355,248,165,400,4019,31,83,0
321,307,193,220,3993,25,72,0
386,368,1443,3699,155,60,36,1
373,260,180,104,4013,28,57,0
292,392,138,325,3998,31,57,0
407,353,162,397,3956,27,36,0
255,285,139,557,4049,24,74,0
327,252,196,234,4010,26,60,0
215,334,71,413,4048,28,55,0
329,285,147,430,4094,28,65,0
332,294,140,332,3902,31,74,0
309,388,132,295,3865,23,63,0
329,199,166,345,4006,31,34,0
325,317,171,319,3958,29,53,0
377,247,212,413,4008,22,64,0
337,370,86,300,3970,29,49,0
373,286,151,180,3999,28,75,0
286,333,148,402,3956,27,64,0
296,310,187,397,3995,29,41,0
312,278,226,466,3964,26,63,0
290,324,199,160,4065,32,57,0
219,224,158,368,4016,29,58,0
281,200,147,359,3980,31,54,0
283,281,148,401,4031,27,57,0
361,293,115,591,4095,30,79,0
288,280,169,513,3962,25,55,0
2617,4005,2882,892,3948,26,64,2
357,210,148,554,3981,30,59,0
313,297,129,540,3923,29,73,0
277,361,181,387,3899,27,64,0
3159,3435,2324,677,3977,25,62,2
245,354,117,364,3951,27,69,0
282,278,122,171,4010,29,54,0
289,272,142,489,3997,28,62,0
427,450,2113,1961,574,81,34,1
295,148,155,319,4000,34,54,0
274,300,170,404,4039,29,60,0
280,242,163,455,4012,25,57,0
340,249,149,418,3927,29,73,0
538,505,1522,3614,244,59,0,1
337,377,120,372,4057,32,56,0
323,304,143,470,3930,30,62,0
346,383,161,239,3969,25,56,0
361,323,153,497,4084,27,72,0
208,259,149,500,4012,24,57,0
369,187,135,431,3961,30,70,0
352,388,146,440,3957,25,62,0
2705,2874,2790,686,4001,23,58,2
647,364,1444,2235,464,71,5,1
253,301,124,409,3985,27,60,0
369,310,166,254,4046,24,66,0
326,306,152,326,3997,30,64,0
315,282,64,422,3983,25,55,0
3876,3731,3440,740,4067,27,67,2
215,227,133,359,3991,25,58,0
287,326,145,488,3928,28,79,0
243,279,174,475,3950,26,63,0
249,290,124,358,4001,28,58,0
409,207,206,548,4043,28,63,0
2852,2639,3133,846,3897,27,39,2
273,181,166,457,4043,24,77,0
368,287,152,161,3994,25,41,0
276,322,148,457,3967,28,67,0
270,321,168,324,4018,24,62,0
225,267,154,394,3922,27,61,0
299,325,155,576,3989,26,54,0
355,266,125,390,4004,29,86,0
272,210,184,242,3931,26,77,0
311,250,104,250,3997,30,90,0
509,710,1816,3050,307,57,30,1
283,224,163,554,3980,27,56,0
275,280,94,535,4021,23,42,0
283,311,182,516,3941,31,67,0
3432,2465,3217,791,4015,24,74,2
302,320,172,620,4075,27,54,0
275,377,186,351,3989,28,58,0
348,317,134,197,3954,30,54,0
297,268,225,434,3990,26,50,0
3075,3505,2735,782,3996,32,64,2
289,355,151,272,4016,24,86,0
310,214,147,401,4037,28,64,0
315,261,128,334,3915,28,52,0
280,294,134,362,4005,30,58,0
505,448,1472,2641,422,72,28,1
545,451,1283,3426,113,68,40,1
259,237,86,520,3934,28,55,0
318,327,142,422,3959,26,42,0
304,312,153,406,4095,26,86,0
189,207,153,279,3972,28,74,0
270,322,132,368,3958,33,52,0
2789,3645,2872,869,4009,31,61,2
423,445,1741,3234,562,59,23,1
280,313,124,417,4072,31,54,0
380,314,165,139,4005,33,58,0
287,367,229,419,3975,23,59,0
270,280,136,510,3955,26,50,0
320,276,165,293,3997,30,47,0
368,382,132,273,3972,25,79,0
412,282,184,381,3968,26,66,0
331,277,147,558,4028,22,59,0
301,259,111,556,4064,30,57,0
398,178,171,265,4087,32,54,0
262,315,120,411,4095,28,64,0
271,268,189,508,3954,26,44,0
367,263,125,300,4019,24,77,0
342,252,202,318,4024,30,58,0
292,326,156,417,3944,27,59,0
192,290,146,488,4037,26,56,0
308,317,131,412,3987,23,53,0
271,222,164,294,4040,27,50,0
327,263,152,430,4046,32,66,0
332,166,189,360,3992,31,43,0
289,255,153,546,4009,24,47,0
2261,3742,3505,808,3979,29,53,2
299,324,107,516,4005,24,64,0
319,325,153,420,3972,30,60,0
392,345,124,292,3974,28,63,0
3378,2745,3497,699,3940,28,55,2
320,261,113,290,4049,24,36,0
326,266,130,443,4035,29,51,0
305,357,175,423,4012,27,47,0
320,349,140,469,4041,36,46,0
383,335,149,366,3956,28,67,0
310,313,147,496,4068,29,67,0
287,278,163,411,4025,26,60,0
341,282,179,338,4062,29,64,0
351,258,133,267,4009,30,68,0
469,433,1897,2650,538,64,35,1
282,333,198,512,4019,24,57,0
338,245,88,583,4005,26,59,0
371,367,114,428,3944,29,63,0
664,513,1332,2741,449,60,33,1
323,258,132,515,3939,32,56,0
215,373,150,416,4020,30,64,0
325,303,156,315,4055,25,74,0
320,356,202,362,3974,25,59,0
273,282,156,354,3975,28,60,0
354,286,174,284,4043,28,54,0
413,288,131,376,4016,26,49,0
315,264,139,396,4090,26,49,0
261,292,148,460,4026,32,82,0
320,383,203,209,3935,32,64,0
301,398,162,585,3975,30,58,0
598,577,1786,2978,544,92,24,1
315,355,180,88,4000,28,59,0
282,271,136,370,3981,22,44,0
534,586,1269,2598,241,48,48,1
307,282,132,360,3976,32,52,0
224,349,131,433,3957,27,48,0
255,359,202,424,4031,25,58,0
3298,3802,2742,945,3944,29,50,2
509,537,968,3165,476,38,36,1
278,266,135,425,4087,29,59,0
240,397,136,368,3972,27,73,0
388,285,98,472,3939,26,46,0
291,229,149,295,4010,28,73,0
290,215,167,319,3938,25,60,0
3251,3278,3178,615,4040,31,47,2
2567,3945,2450,699,3968,29,65,2
339,341,91,517,4040,30,74,0
279,318,144,315,3933,19,50,0
305,238,61,293,3999,24,43,0
318,270,122,253,3937,29,60,0
228,282,141,562,3993,29,72,0
288,339,165,407,4007,29,77,0
265,232,128,513,3958,28,56,0
358,304,146,441,4018,25,61,0
246,233,184,353,4032,28,59,0
313,265,151,378,4007,27,61,0
240,324,194,510,4034,30,68,0
226,324,181,729,4001,25,36,0
2033,3372,2552,859,4080,29,61,2
299,276,108,411,4034,29,48,0
304,306,153,438,4095,24,75,0
247,321,188,293,4036,27,57,0
316,262,156,405,3967,27,60,0
269,184,123,361,4018,25,68,0
261,337,159,426,3943,25,62,0
258,257,186,510,4067,28,50,0
321,264,113,474,4040,23,70,0
264,239,127,339,4058,23,63,0
304,331,193,316,4010,27,70,0
292,318,189,384,4051,28,43,0
266,245,160,345,4091,28,57,0
363,410,164,276,4091,26,50,0
300,345,128,422,3966,32,59,0
544,549,1736,2947,607,54,27,1
349,274,156,524,4022,25,64,0
686,229,1694,3003,444,51,30,1
390,629,1292,3499,441,77,37,1
205,296,186,362,3891,32,33,0
303,291,168,431,4006,29,64,0
391,316,110,451,3934,25,50,0
295,349,172,363,3926,28,73,0
260,288,133,354,3919,32,79,0
310,228,176,395,4005,24,72,0
335,290,128,411,4095,34,72,0
393,295,80,470,4091,32,62,0
326,236,193,421,3919,26,70,0
318,414,141,464,4053,30,48,0
302,384,92,484,3925,24,75,0
212,277,94,398,4025,29,72,0
246,306,141,446,3957,27,54,0
332,218,104,612,4002,27,50,0
263,341,119,276,4052,29,57,0
339,275,131,454,3964,31,67,0
246,341,205,232,4054,30,40,0
381,385,139,329,3934,26,61,0
239,263,181,397,3966,31,51,0
229,304,104,388,4095,23,70,0
241,274,148,539,4002,35,56,0
197,325,110,454,4004,27,47,0
400,286,147,520,3914,26,69,0
646,445,1290,2557,0,74,33,1
2800,3857,2921,916,4010,26,63,2
321,273,106,380,3971,28,64,0
491,536,1399,2661,303,48,38,1
343,365,217,298,3931,31,61,0
315,287,144,336,3974,25,67,0
322,343,152,292,4001,27,58,0
379,263,124,220,3974,28,57,0
622,506,1681,3278,328,66,27,1
247,350,163,439,4029,28,58,0
711,414,1326,3083,516,44,36,1
305,367,191,554,4024,27,71,0
305,379,240,490,3932,27,58,0
319,279,135,448,4016,30,55,0
248,316,164,255,4005,29,51,0
200,334,133,357,3920,27,62,0
390,337,120,425,4038,29,63,0
319,256,152,491,3974,31,35,0
369,328,158,489,4079,27,65,0
3586,2998,2663,893,4055,30,59,2
2544,3660,2482,883,4039,28,50,2
741,530,1388,2009,260,60,31,1
406,331,122,411,4005,25,60,0
410,297,168,518,4033,26,67,0
298,320,124,539,3987,24,66,0
247,375,100,543,3973,37,69,0
276,321,144,282,3982,30,64,0
322,332,92,352,4031,25,55,0
319,314,187,505,4036,28,52,0
381,330,206,512,4018,28,61,0
333,332,164,352,3926,24,67,0
320,323,164,452,4028,28,47,0
310,364,73,568,4073,24,58,0
272,289,181,369,3984,28,72,0
337,328,153,467,4008,27,45,0
606,406,1742,2688,198,68,38,1
278,254,187,439,4024,30,63,0
298,261,114,547,3989,32,54,0
217,305,155,445,3958,32,68,0
330,272,175,466,3980,23,53,0
323,393,85,171,3937,33,48,0
268,184,168,499,4065,22,48,0
297,308,152,563,3969,25,67,0
345,257,175,346,3969,29,49,0
329,349,138,382,3986,28,49,0
325,256,142,280,3998,31,68,0
354,327,130,603,3978,26,79,0
336,339,147,433,3982,27,57,0
306,288,197,519,4012,30,71,0
366,301,175,256,4062,29,60,0
327,270,189,427,4034,27,48,0
779,434,2125,2717,268,50,32,1
408,363,189,361,3987,28,67,0
393,164,199,482,4027,29,66,0
182,213,160,383,3982,32,60,0
335,267,137,409,4032,33,62,0
267,247,159,454,3993,26,49,0
352,332,149,354,3908,23,56,0
376,167,184,460,4000,26,87,0
269,289,164,461,4011,30,68,0
364,336,168,342,4018,30,55,0
320,276,163,320,3986,25,62,0
364,302,136,380,3997,26,55,0
523,637,1405,2709,408,61,25,1
309,356,137,281,4024,25,57,0
360,353,183,461,4062,21,73,0
288,302,120,283,4043,27,71,0
282,300,165,233,3922,25,61,0
265,282,162,420,4054,32,53,0
603,584,1141,3110,279,64,31,1
738,469,1379,2914,321,68,19,1
318,288,170,418,3954,30,65,0
305,313,158,415,3956,24,60,0
337,372,155,442,3899,29,49,0
274,251,130,472,4063,27,64,0
353,237,121,407,3976,30,66,0
246,300,120,388,3954,25,67,0
304,324,173,430,3984,27,52,0
727,428,2167,2440,367,66,25,1
369,330,160,501,3940,27,37,0
254,363,162,298,4095,22,67,0
191,339,166,419,4010,30,51,0
2721,3701,3188,664,3978,25,59,2
285,247,167,513,3988,32,49,0
357,415,166,298,3967,28,58,0
214,320,107,415,4095,20,83,0
346,297,140,312,3996,27,50,0
282,320,107,436,4032,28,61,0
508,610,1873,3637,107,64,22,1
289,243,166,314,4051,28,51,0
309,327,107,579,3924,27,71,0
360,238,127,592,3995,24,68,0
1840,3089,2817,886,3947,35,78,2
218,223,164,293,4025,28,66,0
332,300,177,380,4038,25,64,0
268,280,143,223,3977,25,65,0
239,307,133,245,4012,28,47,0
327,254,176,280,3979,28,71,0
3180,3361,2771,742,4062,32,49,2
600,669,1418,3161,434,59,36,1
305,237,136,464,4011,25,61,0
287,243,184,224,3973,29,66,0
280,327,167,392,4059,29,53,0
392,191,154,521,3972,29,82,0
329,308,143,333,4081,26,55,0
347,227,156,431,4060,32,57,0
510,523,1401,2903,470,83,26,1
559,396,964,2553,408,59,26,1
322,279,159,382,3928,19,59,0
257,310,86,444,3893,26,59,0
232,263,192,529,3989,31,40,0
268,279,116,394,4020,21,61,0
270,321,94,289,4023,22,43,0
266,253,157,363,4042,31,71,0
336,341,155,266,3975,27,66,0
312,258,142,400,4018,27,58,0
360,269,128,416,3951,23,60,0
311,183,123,373,4092,27,40,0
322,286,146,404,3964,34,45,0
304,346,199,347,4095,28,49,0
368,281,112,295,3929,29,57,0
291,321,131,318,4042,30,66,0
283,397,89,453,3904,30,67,0
505,349,1631,2592,544,72,14,1
317,231,141,492,4095,24,70,0
321,225,143,650,4023,23,60,0
2749,3735,2358,732,4026,28,62,2
329,341,148,468,3968,26,56,0
285,301,193,101,4032,27,65,0
199,340,132,374,4084,24,39,0
277,203,135,469,4009,26,75,0
256,324,159,426,3989,23,44,0
275,321,116,382,3982,27,67,0
301,309,129,340,4037,32,64,0
305,273,189,347,4002,29,65,0
344,310,173,352,4027,27,52,0
299,342,165,515,3964,24,63,0
326,290,162,444,4040,27,71,0
262,316,188,364,3975,30,56,0
515,731,1304,3671,459,59,21,1
2740,2632,2937,772,3982,22,50,2
313,196,109,340,3978,25,58,0
264,375,140,395,4008,27,55,0
3678,3507,2496,839,4028,29,42,2
270,350,179,404,4016,28,70,0
361,280,144,483,3939,30,44,0
346,347,166,339,3947,28,53,0
381,243,150,286,3933,28,63,0
331,333,179,438,3964,31,69,0
268,264,115,423,3997,26,61,0
341,280,216,209,4035,26,53,0
347,286,168,355,3999,20,49,0
291,424,131,255,3992,29,41,0
274,275,190,333,4004,32,51,0
328,234,130,350,4060,34,64,0
289,287,137,359,3956,28,59,0
371,331,119,446,3990,28,82,0
321,335,199,350,4028,28,60,0
256,332,138,386,3985,26,68,0
343,297,194,317,4004,26,66,0
318,318,178,252,3887,30,46,0
252,396,179,465,3913,26,42,0
209,226,114,333,3913,35,42,0
3873,3634,2308,761,4023,28,56,2
319,300,174,464,4009,26,53,0
265,298,153,335,4063,23,40,0
2660,3129,3337,879,3980,24,62,2
219,255,116,515,3957,27,43,0
532,411,1303,2934,463,66,36,1
319,293,159,606,4034,28,41,0
272,289,138,477,3992,24,58,0
2770,3352,2787,849,4006,34,70,2
300,247,145,359,4024,31,67,0
260,313,142,510,4008,27,68,0
603,445,1279,3464,515,67,15,1
424,401,1479,3589,577,57,36,1
330,336,112,523,4009,23,77,0
390,339,169,476,3946,31,54,0
3044,2981,2922,929,4011,22,58,2
328,364,175,205,4055,27,47,0
277,288,190,472,3994,27,65,0
308,297,127,379,4069,26,51,0
276,262,150,421,4050,31,61,0
272,247,135,422,4095,30,63,0
627,522,1657,2485,627,69,29,1
266,193,128,339,3970,26,78,0
340,196,172,389,3973,26,55,0
3148,3535,2506,946,4082,26,65,2
279,376,184,464,4025,25,52,0
523,406,1336,2953,469,48,21,1
318,214,172,360,4019,29,67,0
746,541,1474,2894,267,61,29,1
324,299,122,414,4059,31,53,0
289,225,124,311,4019,31,72,0
341,322,139,517,4005,27,44,0
301,359,150,404,4016,29,57,0
268,248,151,317,4093,30,64,0
426,296,110,322,3991,26,68,0
252,363,133,608,4035,29,68,0
273,180,87,372,3999,29,46,0
328,245,185,261,4017,25,64,0
301,347,110,282,3987,28,46,0
232,188,183,362,3973,29,59,0
631,510,2270,3526,520,67,28,1
334,278,107,247,3980,33,62,0
718,444,1576,3701,589,64,22,1
234,285,134,526,4064,26,80,0
299,336,122,449,3962,25,70,0
229,371,102,462,3997,29,58,0
248,382,152,362,3979,33,77,0
2939,3679,2517,868,3959,29,50,2
258,365,170,483,3956,33,67,0
2954,3125,3187,918,3920,21,55,2
305,333,171,311,3978,28,61,0
332,325,162,557,4095,26,65,0
846,570,1055,2656,921,82,24,1
2412,2936,2771,736,3989,26,75,2
272,180,111,268,4047,31,80,0
232,270,130,460,3970,29,62,0
375,216,129,382,3979,28,55,0
341,254,132,297,3978,25,74,0
316,284,147,137,3983,26,60,0
2824,3376,2542,790,3988,35,69,2
377,288,120,369,3894,27,58,0
157,287,176,378,3904,31,57,0
247,298,163,269,4018,23,43,0
434,375,155,416,4045,36,55,0
286,165,113,323,3962,29,68,0
300,315,134,341,4003,30,77,0
2369,2574,2815,823,4055,24,55,2
279,314,67,410,4031,27,58,0
372,286,80,376,3975,23,49,0
258,270,104,351,3933,24,59,0
299,276,124,137,4047,26,62,0
262,319,187,359,3997,35,63,0
324,241,117,373,4043,35,62,0
237,262,165,502,3975,27,67,0
2505,3819,3343,695,3968,25,40,2
611,411,1287,2850,436,56,43,1
3123,3815,2689,721,3984,24,63,2
392,264,131,277,4056,29,41,0
3063,3373,3804,770,4049,28,42,2
295,296,136,361,4090,30,68,0
338,261,171,531,3972,36,60,0
383,303,244,246,4021,32,67,0
295,273,184,411,4011,18,62,0
283,289,153,530,3915,27,64,0
2844,3324,3528,785,3995,25,62,2
335,304,157,471,4077,31,57,0
671,615,2076,3134,260,75,23,1
321,311,142,316,4003,25,84,0
273,404,164,360,4027,27,66,0
310,323,112,395,3960,36,44,0
441,293,141,242,3999,28,47,0
347,305,139,315,3959,24,77,0
3582,3403,2054,780,4090,28,57,2
296,290,120,631,3962,24,62,0
349,259,142,418,4070,32,51,0
302,337,131,505,3948,24,65,0
811,534,2081,3226,704,57,46,1
372,240,197,486,3988,26,49,0
263,260,159,428,3928,23,52,0
359,129,162,391,4019,29,76,0
359,391,129,170,3975,26,61,0
351,277,104,347,3941,28,63,0
278,262,122,327,4008,28,50,0
284,338,126,305,4006,28,61,0
317,278,198,440,3942,24,71,0
2526,2948,2578,836,3908,27,53,2
2900,2553,2417,1039,3906,26,47,2
3037,2529,2923,799,3949,24,57,2
274,202,190,415,3995,27,50,0
351,275,211,442,4028,25,39,0
322,327,148,471,4018,25,63,0
340,485,1660,3014,528,44,30,1
2902,2957,2603,721,4011,30,33,2
199,344,157,357,4039,29,63,0
385,304,116,489,4010,22,52,0
3116,2645,2701,823,3939,30,59,2
373,240,147,472,4087,29,69,0
284,286,147,243,3906,23,56,0
184,357,196,432,3903,32,50,0
302,285,174,403,4019,34,48,0
632,388,1576,2959,792,49,20,1
332,252,163,522,3984,27,55,0
2783,2603,3051,759,3944,29,63,2
215,340,163,408,4032,29,62,0
2805,3250,2828,767,3974,32,67,2
239,327,194,607,3997,30,50,0
385,281,156,442,4042,29,57,0
734,653,1513,3149,265,67,27,1
295,301,143,505,3886,27,49,0
273,335,98,292,4002,28,43,0
363,333,136,264,4030,24,49,0
393,310,166,314,4044,31,62,0
241,254,178,309,4046,25,67,0
298,273,166,554,4024,27,43,0
264,292,165,227,4095,27,50,0
247,369,169,335,3999,31,57,0
292,273,135,386,4023,30,68,0
3203,3066,2653,656,4058,29,52,2
270,278,152,342,4089,26,62,0
356,333,162,438,4015,24,54,0
269,266,155,353,3986,28,76,0
292,366,139,537,4007,26,48,0
376,300,125,364,4095,27,56,0
2703,3374,2847,818,4041,26,72,2
703,467,1222,3012,376,70,43,1
270,276,133,337,3999,30,60,0
282,300,202,259,3977,30,59,0
286,305,183,550,3966,29,59,0
345,249,146,318,3980,25,63,0
317,336,167,375,3929,29,66,0
279,408,153,470,3971,31,58,0
304,340,114,700,3925,26,83,0
3155,2873,2827,961,4050,25,73,2
2701,3117,2653,818,3989,33,47,2
2543,3700,2470,706,4008,28,67,2
368,381,196,389,3941,27,48,0
220,342,109,194,3963,25,73,0
328,269,138,508,4095,30,58,0
292,348,153,374,4085,28,70,0
731,368,1199,3572,632,57,38,1
2869,3250,3027,751,4030,25,54,2
3175,2869,2787,827,4024,27,60,2
418,317,147,436,3997,30,49,0
290,299,166,519,3937,24,63,0
343,364,183,256,4055,28,72,0
313,258,215,351,4043,31,70,0
402,301,129,331,3992,24,60,0
196,293,137,380,3985,26,54,0
294,259,139,373,4008,24,56,0
481,436,2044,2815,0,47,25,1
265,341,149,508,3903,25,73,0
2996,3395,2959,840,4009,32,51,2
446,455,1575,2911,575,55,25,1
338,276,108,501,3941,29,57,0
204,330,83,430,4036,25,66,0
287,266,104,380,3874,26,45,0
362,268,91,521,3950,27,68,0
279,319,168,514,3914,23,81,0
247,264,135,342,3918,30,61,0
3115,3038,2588,833,3888,22,74,2
316,279,106,414,4016,32,63,0
283,250,119,472,3996,27,58,0
269,332,134,390,3955,28,48,0
301,288,180,343,4025,23,73,0
357,309,86,349,3924,25,64,0
311,323,100,368,3975,24,53,0
330,334,164,293,4062,28,65,0
336,314,158,527,3935,29,63,0
285,322,91,675,3921,29,42,0
291,319,130,428,3972,32,49,0
284,298,155,431,3963,26,67,0
276,389,80,422,4000,31,57,0
334,358,179,406,4019,24,60,0
343,301,138,375,3970,28,51,0
328,376,172,382,4006,25,62,0
233,270,102,398,3895,27,59,0
319,386,127,386,3965,31,56,0
300,234,182,369,3956,28,68,0
297,320,178,338,4075,31,52,0
288,304,111,495,3949,29,68,0
353,313,132,424,4018,29,49,0
318,276,168,490,4068,25,68,0
339,292,201,432,4042,27,59,0
269,346,122,270,3919,27,63,0
379,352,172,407,3944,28,71,0
523,445,1594,2168,559,62,49,1
300,283,81,429,3989,27,59,0
262,232,151,325,4011,31,67,0
333,281,117,507,4002,26,57,0
281,263,136,422,4035,25,64,0
242,353,146,205,4064,24,56,0
578,367,1099,2766,228,51,27,1
3046,2975,3487,952,4036,30,42,2
311,331,170,402,4007,24,56,0
2877,3478,1792,697,3937,25,74,2
325,354,185,449,3992,32,62,0
319,253,113,284,3938,28,57,0
237,256,61,510,3987,32,64,0
686,512,1004,2625,771,66,35,1
373,345,173,392,3995,29,58,0
304,221,162,386,3984,31,46,0
255,257,128,338,3966,30,54,0
331,303,160,363,3990,33,53,0
302,270,181,413,4016,27,66,0
271,335,130,308,3933,24,72,0
284,284,143,315,3965,27,41,0
390,339,143,414,4060,26,53,0
248,293,131,518,3990,28,55,0
387,322,138,524,4023,24,63,0
357,294,123,413,3929,32,65,0
277,276,160,480,4074,29,55,0
2611,3976,2967,747,4007,33,44,2
306,318,124,402,4066,27,42,0
528,603,1599,3347,339,64,16,1
523,349,1338,3820,553,70,32,1
494,390,1737,3040,123,64,33,1
609,494,1313,2200,563,83,8,1
3131,2676,2639,774,3972,28,76,2
246,331,116,389,4002,30,68,0
3405,3277,1895,892,3941,25,39,2
277,307,114,338,4015,23,51,0
